Ingredient,Total Quantity (grams)
?duja Salami,2860.0
Alfredo Sauce,1420.0
Anchovies,3300.0
Artichokes,11190.0
Arugula,695.0
Asiago Cheese,6190.0
Bacon,28880.0
Barbecue Sauce,2445.0
Barbecued Chicken,6990.0
Beef Chuck Roast,12820.0
Blue Cheese,1620.0
Brie Carre Cheese,1110.0
Calabrese Salami,15600.0
Capocollo,63300.0
Caramelized Onions,0.0
Chicken,84400.0
Chipotle Sauce,6980.0
Chorizo Sausage,5450.0
Cilantro,3490.0
Coarse Sicilian Salami,11000.0
Corn,23390.0
Eggplant,2620.0
Feta Cheese,10700.0
Fontina Cheese,6690.0
Friggitello Peppers,715.0
Garlic,24745.0
Genoa Salami,8040.0
Goat Cheese,13720.0
Gorgonzola Piccante Cheese,5680.0
Gouda Cheese,5070.0
Green Olives,4735.0
Green Peppers,7040.0
Italian Sausage,1090.0
Jalapeno Peppers,6025.0
Kalamata Olives,3405.0
Luganega Sausage,5500.0
Mozzarella Cheese,11990.0
Mushrooms,26900.0
Onions,2750.0
Oregano,1305.0
Pancetta,4290.0
Parmigiano Reggiano Cheese,13440.0
Pears,370.0
Peperoncini verdi,2125.0
Pepperoni,24710.0
Pesto Sauce,4140.0
Pineapple,10395.0
Plum Tomatoes,3560.0
Prosciutto,1110.0
Prosciutto di San Daniele,1640.0
Provolone Cheese,1620.0
Red Onions,70660.0
Red Peppers,14565.0
Ricotta Cheese,7100.0
Romano Cheese,1620.0
Sliced Ham,0.0
Smoked Gouda Cheese,1620.0
Soppressata Salami,8100.0
Spinach,26505.0
Sun-dried Tomatoes,1570.0
Thai Sweet Chilli Sauce,4260.0
Thyme,185.0
Tomatoes,48750.0
Zucchini,4320.0
